stance,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anger,social,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,bio,drives,affiliation,achieve,power,reward,focuspast,focuspresent,focusfuture,relativ,motion,space,time.1,work,informal,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
Weak Agreement,1,92.84,50.0,1.0,25.77,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Weak Agreement,26,23.17,50.0,63.54,1.0,13.0,7.69,92.31,69.23,23.08,7.69,0.0,0.0,0.0,7.69,15.38,11.54,11.54,23.08,0.0,0.0,7.69,38.46,0.0,0.0,3.85,0.0,0.0,3.85,0.0,3.85,0.0,11.54,0.0,15.38,7.69,3.85,0.0,0.0,0.0,3.85,0.0,0.0,0.0,7.69,3.85,0.0,3.85,0.0,7.69,23.08,3.85,11.54,3.85,7.69,0.0,0.0,0.0,11.54,3.85,0.0,0.0,0.0,7.69,0.0
Weak Disagreement,1,92.84,50.0,1.0,25.77,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
Neutral,19,21.43,29.92,81.22,97.58,6.33,15.79,89.47,68.42,15.79,0.0,0.0,0.0,0.0,0.0,10.53,5.26,21.05,10.53,15.79,10.53,5.26,15.79,15.79,10.53,0.0,0.0,5.26,5.26,5.26,0.0,0.0,0.0,0.0,15.79,0.0,0.0,0.0,5.26,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53,5.26,26.32,5.26,15.79,5.26,0.0,0.0,42.11,26.32,5.26,0.0,0.0,0.0,10.53
Strong Agreement,7,5.53,7.67,89.63,25.77,7.0,0.0,85.71,57.14,28.57,14.29,14.29,0.0,0.0,0.0,14.29,14.29,0.0,28.57,0.0,0.0,0.0,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,14.29,14.29,0.0,0.0,0.0,0.0,42.86,0.0,14.29,14.29,0.0,14.29,0.0
Neutral,11,79.25,81.84,31.94,99.0,11.0,36.36,63.64,27.27,9.09,0.0,0.0,0.0,0.0,0.0,9.09,0.0,9.09,9.09,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,9.09,9.09,0.0,0.0,9.09,0.0,18.18,0.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0,0.0,9.09,0.0,9.09,0.0,0.0,0.0,9.09,0.0,18.18,0.0,9.09,9.09,18.18,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0
Weak Agreement,5,51.43,97.69,1.0,25.77,2.5,60.0,100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,40.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,20.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,60.0,20.0,0.0,20.0,0.0,20.0,0.0
Strong Agreement,7,1.0,99.0,89.63,1.0,3.5,0.0,85.71,57.14,28.57,14.29,0.0,0.0,0.0,0.0,14.29,0.0,0.0,14.29,14.29,0.0,0.0,28.57,14.29,0.0,0.0,0.0,0.0,14.29,0.0,14.29,0.0,14.29,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,0.0,0.0,14.29,28.57,0.0,14.29,0.0,0.0,14.29,0.0,0.0,28.57,28.57,0.0,0.0,0.0,0.0,0.0
Neutral,24,92.84,50.0,1.0,25.77,12.0,66.67,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,104.17,0.0,0.0,0.0,4.17,0.0,100.0
Neutral,30,83.85,99.0,23.51,1.0,15.0,16.67,90.0,56.67,20.0,10.0,0.0,0.0,0.0,10.0,10.0,3.33,23.33,10.0,0.0,3.33,0.0,16.67,3.33,6.67,3.33,0.0,3.33,13.33,3.33,10.0,10.0,23.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,0.0,16.67,10.0,0.0,10.0,0.0,10.0,6.67,0.0,16.67,0.0,13.33,3.33,0.0,0.0,10.0,6.67,0.0,0.0,0.0,3.33,0.0
Strong Agreement,2,92.84,50.0,1.0,1.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0
Neutral,49,76.89,92.33,1.0,4.76,9.8,12.24,71.43,46.94,14.29,10.2,0.0,2.04,4.08,2.04,4.08,2.04,18.37,6.12,8.16,2.04,0.0,12.24,2.04,0.0,6.12,2.04,6.12,2.04,0.0,2.04,0.0,10.2,4.08,12.24,0.0,4.08,0.0,2.04,6.12,0.0,2.04,2.04,2.04,2.04,2.04,0.0,0.0,0.0,6.12,8.16,0.0,10.2,0.0,10.2,0.0,6.12,0.0,18.37,6.12,0.0,2.04,0.0,6.12,4.08
Neutral,15,32.98,99.0,10.08,25.77,15.0,13.33,60.0,33.33,13.33,13.33,0.0,13.33,0.0,0.0,0.0,0.0,6.67,6.67,6.67,6.67,0.0,20.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,6.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,13.33,6.67,13.33,6.67,0.0,6.67,0.0,0.0,13.33,6.67,6.67,0.0,0.0,0.0,0.0
Neutral,10,98.46,15.86,93.3,25.77,5.0,20.0,90.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.0,0.0,20.0,10.0,20.0,0.0,50.0,30.0,20.0,0.0,0.0,0.0,0.0
Neutral,7,1.0,50.0,13.15,25.77,3.5,14.29,100.0,57.14,28.57,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,14.29,14.29,14.29,0.0,28.57,0.0,0.0,14.29,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,42.86,0.0,14.29,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,14.29,0.0,0.0,14.29,0.0,0.0,57.14,14.29,0.0,28.57,0.0,0.0,14.29
Weak Agreement,10,98.46,15.86,93.3,25.77,5.0,20.0,90.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.0,0.0,20.0,10.0,20.0,0.0,50.0,30.0,20.0,0.0,0.0,0.0,0.0
Weak Agreement,7,1.0,50.0,13.15,25.77,3.5,14.29,100.0,57.14,28.57,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,14.29,14.29,14.29,0.0,28.57,0.0,0.0,14.29,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,42.86,0.0,14.29,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,14.29,0.0,0.0,14.29,0.0,0.0,57.14,14.29,0.0,28.57,0.0,0.0,14.29
Neutral,8,1.8,10.58,7.84,1.0,2.0,37.5,75.0,50.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,25.0,12.5,0.0,0.0,12.5,0.0,0.0,12.5,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,25.0,12.5,0.0,0.0,12.5,0.0,0.0,50.0,37.5,0.0,12.5,0.0,0.0,0.0
Weak Agreement,2,92.84,50.0,1.0,99.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
Weak Agreement,2,92.84,50.0,1.0,25.77,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0,50.0
Weak Agreement,10,24.86,50.0,43.37,99.0,10.0,0.0,80.0,60.0,20.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,20.0,20.0,0.0,0.0,10.0,20.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,10.0,0.0
Weak Agreement,18,4.38,4.8,58.07,25.77,6.0,16.67,88.89,66.67,22.22,5.56,5.56,0.0,0.0,0.0,16.67,5.56,5.56,11.11,16.67,0.0,5.56,16.67,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,11.11,5.56,0.0,0.0,5.56,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,5.56,5.56,0.0,0.0,0.0,0.0,22.22,11.11,0.0,5.56,0.0,0.0,0.0
Weak Agreement,8,1.0,89.42,74.76,25.77,4.0,0.0,100.0,62.5,25.0,12.5,0.0,0.0,0.0,12.5,12.5,0.0,0.0,25.0,0.0,12.5,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,50.0,25.0,12.5,12.5,25.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,12.5,0.0
Strong Agreement,18,4.38,4.8,58.07,25.77,6.0,16.67,88.89,66.67,22.22,5.56,5.56,0.0,0.0,0.0,16.67,5.56,5.56,11.11,16.67,0.0,5.56,16.67,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,11.11,5.56,0.0,0.0,5.56,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,5.56,5.56,0.0,0.0,0.0,0.0,22.22,11.11,0.0,5.56,0.0,0.0,0.0
Strong Agreement,8,1.0,89.42,74.76,25.77,4.0,0.0,100.0,62.5,25.0,12.5,0.0,0.0,0.0,12.5,12.5,0.0,0.0,25.0,0.0,12.5,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,50.0,25.0,12.5,12.5,25.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,12.5,0.0
Strong Agreement,22,56.58,96.52,11.0,99.0,5.5,13.64,86.36,50.0,22.73,13.64,0.0,0.0,4.55,9.09,9.09,9.09,9.09,9.09,0.0,0.0,4.55,13.64,0.0,0.0,0.0,4.55,0.0,9.09,9.09,0.0,0.0,27.27,9.09,13.64,0.0,4.55,0.0,4.55,0.0,4.55,4.55,0.0,0.0,4.55,0.0,0.0,0.0,0.0,9.09,4.55,0.0,13.64,0.0,13.64,0.0,4.55,0.0,36.36,4.55,0.0,18.18,4.55,4.55,4.55
Weak Agreement,20,1.0,15.86,99.0,25.77,10.0,15.0,90.0,65.0,15.0,10.0,0.0,0.0,0.0,10.0,5.0,0.0,5.0,20.0,5.0,15.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,30.0,10.0,0.0,5.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,5.0,10.0,0.0,0.0,10.0,10.0,0.0,30.0,5.0,5.0,0.0,10.0,10.0,0.0
Weak Agreement,23,34.48,90.38,9.25,25.77,11.5,17.39,73.91,56.52,17.39,8.7,0.0,0.0,0.0,8.7,8.7,4.35,13.04,4.35,8.7,13.04,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.39,0.0,8.7,0.0,4.35,0.0,0.0,0.0,4.35,0.0,0.0,0.0,4.35,0.0,0.0,4.35,0.0,0.0,8.7,0.0,8.7,0.0,4.35,4.35,0.0,0.0,8.7,8.7,0.0,0.0,0.0,0.0,0.0
Neutral,11,3.76,50.0,85.21,25.77,5.5,0.0,81.82,63.64,18.18,0.0,0.0,0.0,0.0,0.0,18.18,0.0,9.09,27.27,9.09,0.0,0.0,27.27,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0,0.0,9.09,0.0,0.0,9.09,0.0,9.09,18.18,0.0,27.27,0.0,9.09,18.18,0.0,0.0,18.18,18.18,0.0,0.0,0.0,0.0,0.0
Neutral,20,4.01,93.3,74.76,25.77,10.0,25.0,100.0,60.0,20.0,5.0,0.0,5.0,0.0,0.0,15.0,0.0,10.0,15.0,10.0,10.0,0.0,30.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,15.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,10.0,0.0,0.0,5.0,5.0,15.0,15.0,0.0,20.0,5.0,0.0,15.0,5.0,0.0,15.0,10.0,5.0,0.0,0.0,0.0,0.0
Neutral,10,77.33,50.0,43.37,99.0,10.0,10.0,80.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,10.0,10.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,20.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strong Agreement,10,77.33,99.0,43.37,1.0,10.0,20.0,100.0,50.0,30.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,20.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strong Agreement,17,85.18,96.11,1.0,25.77,17.0,5.88,82.35,64.71,17.65,5.88,0.0,0.0,5.88,0.0,11.76,17.65,11.76,11.76,0.0,5.88,0.0,17.65,0.0,0.0,5.88,5.88,0.0,0.0,0.0,0.0,0.0,17.65,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,5.88,0.0,0.0,17.65,0.0,11.76,5.88,5.88,0.0,0.0,0.0,5.88,0.0,5.88,0.0,0.0,0.0,0.0
Strong Agreement,42,54.14,76.25,89.63,95.81,7.0,26.19,88.1,45.24,14.29,7.14,4.76,2.38,0.0,0.0,7.14,4.76,9.52,9.52,4.76,4.76,0.0,19.05,7.14,2.38,0.0,0.0,0.0,4.76,4.76,0.0,0.0,11.9,0.0,11.9,0.0,2.38,0.0,0.0,7.14,2.38,2.38,0.0,2.38,14.29,4.76,4.76,2.38,2.38,9.52,7.14,0.0,21.43,2.38,16.67,2.38,4.76,11.9,21.43,7.14,7.14,0.0,4.76,2.38,0.0
Strong Agreement,17,85.18,96.11,1.0,25.77,17.0,5.88,82.35,64.71,17.65,5.88,0.0,0.0,5.88,0.0,11.76,17.65,11.76,11.76,0.0,5.88,0.0,17.65,0.0,0.0,5.88,5.88,0.0,0.0,0.0,0.0,0.0,17.65,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,5.88,0.0,0.0,17.65,0.0,11.76,5.88,5.88,0.0,0.0,0.0,5.88,0.0,5.88,0.0,0.0,0.0,0.0
Strong Agreement,42,54.14,76.25,89.63,95.81,7.0,26.19,88.1,45.24,14.29,7.14,4.76,2.38,0.0,0.0,7.14,4.76,9.52,9.52,4.76,4.76,0.0,19.05,7.14,2.38,0.0,0.0,0.0,4.76,4.76,0.0,0.0,11.9,0.0,11.9,0.0,2.38,0.0,0.0,7.14,2.38,2.38,0.0,2.38,14.29,4.76,4.76,2.38,2.38,9.52,7.14,0.0,21.43,2.38,16.67,2.38,4.76,11.9,21.43,7.14,7.14,0.0,4.76,2.38,0.0
Strong Agreement,43,92.84,87.75,93.79,69.6,14.33,16.28,83.72,48.84,9.3,6.98,0.0,2.33,0.0,4.65,2.33,11.63,13.95,11.63,2.33,0.0,2.33,16.28,2.33,0.0,0.0,0.0,2.33,2.33,2.33,0.0,0.0,13.95,0.0,11.63,2.33,0.0,0.0,2.33,4.65,2.33,0.0,0.0,0.0,13.95,0.0,0.0,11.63,2.33,0.0,13.95,0.0,25.58,2.33,16.28,6.98,4.65,0.0,27.91,2.33,0.0,0.0,11.63,4.65,4.65
