,tweet_id,user_id,screen_name,text,time,topic
74,9.67651E+17,589606816,MarciaBunney,Report him - it’s the best action to take.,2/25/2018 6:41,coached
75,9.66405E+17,9.58504E+17,JCD1278,Wow.  Imagine being a bad enough human to attack teenagers who just survived a mass shooting.,2/21/2018 20:11,coached
76,9.66779E+17,9.3151E+17,TerriLynn510,Liar! #RussianTroll go collect your check ,2/22/2018 20:57,coached
77,9.69415E+17,30576483,MMKinney,Don’t be silly. I’ve started following him on Twitter. This tape is edited. He looked like he was trying not to cry.,3/2/2018 3:32,coached
78,9.68974E+17,2716850508,jaijairry,"If it goes against your morals and values you will never be able to produce,",2/28/2018 22:20,coached
79,9.68872E+17,7.19203E+17,tod1776,#Retweet,2/28/2018 15:33,coached
80,9.6797E+17,908963659,QueenDPortugal,This is shocking,2/26/2018 3:51,coached
81,9.67749E+17,3589010426,ZemanLynnZ,You need professional help @lucianwintrich ... sooner than later ,2/25/2018 13:11,coached
82,9.6691E+17,8.7942E+17,WallaceKennett,"""I can't remember my lines!""",2/23/2018 5:39,coached
83,9.66883E+17,2532745032,mcumming13,How can people denie that this young man is scripted ? I just don’t get it ,2/23/2018 3:50,coached
84,9.66802E+17,7.03043E+17,bridget4kicks,BTW #DavidHogg is NOT a Florida high school student. He's actually a graduate of a high school in California.,2/22/2018 22:28,coached
85,9.66691E+17,57458520,tybrown3,I thought the students who played dead gunshot victims were particularly skilled.,2/22/2018 15:06,coached
86,9.66662E+17,2281093466,PJ1963Indy,A tool of lefties- exposed.,2/22/2018 13:11,coached
87,9.66505E+17,41687149,cornbreadpapa,Soy boy,2/22/2018 2:47,coached
88,9.66423E+17,876245732,forusewhendrunk,it's weird watching people attack the survivors or a terrorist attack,2/21/2018 21:21,coached
89,9.66411E+17,14751764,RCLGuard,,2/21/2018 20:35,coached
90,9.66411E+17,48775358,TheLadyofLedger,"This is what you call heavily coached?....and told what to say?...no, the kid is nervous with a camera in his face. Keep chug-a-luggin that #Trumpberrykoolaid.",2/21/2018 20:35,coached
91,9.66406E+17,372494314,waggles111,You have some nerve. Trump can’t zip his own fly up without help.,2/21/2018 20:16,coached
