screen_name,text,stance,count
DeusExMacarena,CAUGHT RED HANDED! JACOB WOHL WITH HIS HEAD UP HIS ASS!,Strong Disagreement,4
DiCam3667Trump,"Now now let's not be #FakeNews. It was only 200,000..... liar pants on fire",Strong Disagreement,3
DickYoungsGhost,"Number more like 250,000 per government sources. Hype.",Weak Disagreement,4
Digenes_Akrites,Nothing more than a hype without any numbers to back their emotional reaction up.,Weak Disagreement,4
DisabledUSN_Vet,Of course....he doesnt fit their agenda.,Neutral,5
DontCallMeBum,For the people standing up for the kids on CNN. It's not about what the kids are saying. It's about what they are told to say. Children are being manipulated to manipulate you. I feel for those children. And I fear for their future.,Strong Agreement,3
DoreeeV,Florida is his home base! He found more Useful Idiots!,Weak Agreement,3
DorisZelaya5,Good for you young man! Is youngsters like you who we have faith and hope for to stop this craze agenda from the left dictating us how to live.- let s take a stand young people! We got your back!!!!,Strong Agreement,3
DorisZelaya5,Good for you young man! Is youngsters like you who we have faith and hope for to stop this craze agenda from the left dictating us how to live.- letâs take a stand young people! We got your back!!!!,Strong Agreement,4
DrQuesol,"Fake news again! More like around 200,000.",Strong Disagreement,3
DudeAsInCool,You said you didnt watch the event,Neutral,3
Duffy_1958,@JackAgainski @PGHowie2 @Toastmmaster @firemanjohn628,Neutral,4
Dunn_Mark,Debunked,Weak Disagreement,3
DunnoAbout,Is it evident?  How it all began?  $.,Neutral,4
DunnoAbout,No scruples. No future. Destroy.  Who will rebuild?,Weak Agreement,3
EEKKPPeterson,Yes!!!!!!,Strong Agreement,4
EVBernin,"The kids know whats up. 

This is from 2/2016 - its not going to get better for establishment politicians. 

The Attitudes and Priorities of the Snapchat Generation

https://hosting.fyleio.com/12697/public/Snapchat%20Generation%20Release.pdf â¦",Strong Agreement,3
EdJorgenson1,That boy better study his script a little better.,Strong Agreement,4
Elaines2cents,"Well, I guess we have an answer to our suspicions now don't we. Pathetic that @CNN is always churning the wheels to make news instead of reporting it.",Weak Agreement,5
Ellsworth_Lies,It's all Fake!  That guy has a drug record!  He sure as heck isn't a teen in HS!,Strong Disagreement,3
EndofTimes27,"https://youtu.be/Sr1oyK5lvqQ?t=4m40s â¦

Hey so at this very moment you can see Emma Gonzaels or w.e. eyes twitch to the camera because she messed up the 'script'

""First thing""
*corrected and she looks at a producer*
'right now'
*producer probs tells her to repeat to cover*",Neutral,3
Ernestodoggie,Jesus. Donât you have a DC porn ring to investigate or something? You fukin liar,Strong Disagreement,3
Euro22,"Unlike CNN's town hall, the people invited to the White House on the school shooting issue, everyone was allowed to have their say. Both pro and anti-gun, along with other suggestions.",Weak Agreement,3
EyeDoc11,Another Soros AstroTurf campaign?,Strong Agreement,3
FBEsposito,"As usual, wrong again.",Neutral,3
FIT_PR0,"Lies. NOT how it went down. He's a right-wing pro-gun at all cost advocate and now being groomed by #foxnews to discredit @cnn 
CNN asked him to come back when it's not a town hall forum so he can discuss his ideas. There was a format for the show and he did not want to follow it",Neutral,3
Faith_rose1,And there you have it folks. The students that have been appearing for these tv interviews were scripted by the lame stream media to spew gun control propaganda,Weak Disagreement,3
FarmDogMN,CNN is proven to be fake news over and over . This is just another example of the agenda they are pushing for the liberal Democrats.,Strong Agreement,3
Ferniewap,Imagine being this stupid,Strong Disagreement,4
FloridaGuyOB,Reported to twitter. Donât you have anything better to do than target kids that survived a mass shooting only a week ago!  Trump $30 million and little Marco $3.3 million from NRA,Strong Disagreement,4
FranBarreraReal,Not all of our young people are mind controlled Communist Crap  News Network shills,Strong Agreement,5
Francis25929967,"We have to throw the GOP OUT
Throw it faster!",Strong Agreement,6
FreePat62,So CNN was screening questions. Disgusting,Neutral,5
Funnilady,The NRA pays a lot more than that to Mark Rubio so whatâs your point,Weak Disagreement,4
GWhizSmith,Isn't this a jihadi tactic?  They do the same thing with suicide bombers.,Weak Agreement,4
G_Pond47,"MSM, Scripted Liberal Fake News.",Strong Agreement,3
Geezer_Woman,"So beautiful. I imagine a parent telling a child, ""Those are all people, honey.""",Strong Agreement,3
Generation_Xtra,Well done!! Keep up the good work in activism!,Strong Agreement,4
Georgia_RN_CCRN,And that's why I refuse to send money to these Swamp Dwellers either!!,Strong Agreement,3
GiggleWhit22,Good for him! Heâs seeing what the media crap show is all about. Especially at CNN. What a joke.,Strong Agreement,4
Gizmo94544786,No worries Colton. They won't listen to reason. They are unreasonable people.,Strong Agreement,3
Glassmannews,"Of Course, it doesn't fit their Agenda.",Weak Agreement,4
GodsCHOICE936,Busted.... We must expose the FBI agent and his background,Strong Agreement,4
GoldCovfefe,Youâre a sick fuck,Strong Disagreement,7
Goldfishboston,There is something seriously wrong with you.,Strong Disagreement,5
GraceHealz,Has anyone heard a student specifically say they saw Cruz shooting at them?,Neutral,4
Gregory52230449,Of course they would.,Strong Agreement,3
GreyWolfwon,"ONE would assume that there is supposed to be a free flowing forum of differing ideas in these things...... only one assumes in his case.
CNN hates it when we call them fake news, and here is why.",Strong Agreement,3
GundlingJh,"Someone Had to be Supplying the Money. Did'nt @RealJamesWoods call out the Hoggs about wearing nazi-like armbands to their cheauffered rallies? Since soros started out a nazi, the similarity is unmistakable in my mind.",Strong Agreement,3
HUDAHAR2,"What you posit is the reason ths FBI is aware of so many mass casualty events, but seems to ""fail"" to take action. The have pulled that trick too many times for it to be believeable anymore. There just aren't that many coincidences possible.",Strong Agreement,5
HappyinaMini,"What a horrid, disgusting person you are, Lucian.",Strong Disagreement,4
HeavilyFavored,https://twitter.com/HeavilyFavored/status/966530332005715968 â¦,Neutral,3
HillbillyTruth,Boy thats really fair isnt it.    Why they are at the bottom,Neutral,4
Hotpep2706,And WHY are you so dumb???  THAT is the one thousand dollar question!!!!!,Strong Disagreement,4
ID10Talert,"Yeah, know where fox got that? Daily caller, Ben Shapiro lmao. Both are totally credible ",Neutral,3
IKnowFB,Wow @cnn any response??,Neutral,5
IThinkBasic,"What? They are selling people protest garb, not buying protestors...that's like saying that they paid the hotdog vendors at the baseball games to go to the games to boost the attendance...like, no.",Strong Disagreement,4
I_Sack_Morrison,CNN manipulated people to push their agenda? Im utterly shocked.,Strong Agreement,3
IamstillBlakeD,"Yo dawg, you caught some capitalism red handed. Nothing else to see here.",Neutral,3
IcuNoItAll,"I believe (do not let the media, etc. lowball attendance - DC) it was between 1million to OR exceeding 1.5million. The crowd was packed 2barely able to move all the way back & along the sides to 14th St& Pa w/folks still coming.I was there.#MarchForOurLives WE #VoteBlue2018",Strong Agreement,7
IgiturOne,Youâre full of crap. They helped him organize his thoughts so he could confront the Dem senator with his pro-gun question. Get the facts right.,Neutral,3
Ike19777,https://youtu.be/HvZD7UkJd24   He is in this video too from earlier,Neutral,3
Imaginer77,Nothing to see here folks just more satanic bs from the dark side,Strong Agreement,3
IntegralAnswers,Turns out this story was all BS. CNN releases the communications between CNN and Colton Haab and his father.,Strong Disagreement,3
Ionlytwatdrunk,"There should be a go fund me for this kid, he deserves something for being a brave young man and being on a path to be one of our nation's finest.",Neutral,5
IzaihParker,#ThrowThemOut,Weak Agreement,4
JCD1278,Wow.  Imagine being a bad enough human to attack teenagers who just survived a mass shooting.,Strong Disagreement,4
JDignum,"Wowww - look at that, imprint it on your brain and in your heart.  ",Weak Agreement,5
JMSMark5,Good for you!!!,Strong Agreement,4
JOHNBOSS187,#PatriotColtonHaab,Strong Agreement,4
JOHNBOSS187,@marcorubio you got played,Neutral,3
JaHardy65,To all of you people that are blaming Trump------- And how many mass shootings happened under your god Obama? Exactly how did he stop them? WAITING!,Strong Agreement,3
JackieGlo305,Colton Haab is a patriot. May God Bless Him! He resonates with the American people in a way that mini-Trotsky kid Cameron Kasky could never resonate. And CNN causes mass shootings! Nikolas Cruz did it all for the media coverage. And the FBI failed America! #ParklandStudentsSpeak,Neutral,4
Jajngn,"Police state red flag? Thatâs a lot of paranoia, someone ask The Mr.s Hogg (father and son)if this is coincidence.",Weak Agreement,3
JamesMaryette,March on Brother.,Weak Agreement,4
JamesRitch1,So Hogg is the son of an #FBI agent.  PERFECT #FBICorruption,Strong Agreement,3
JanCatt35,They all look SO saddened by the loss of their classmates....don't they???!!!,Neutral,3
JanmalinJanice,Well isnât that special...,Weak Agreement,4
JasFazolka,"I suspect that his daddy is also covering his ass for not doing his job, and stopping the nut job. If @fbi hierarchy diggs deeper, maybe they will find out, that his daddy actually provided guns to the shooter. I will believe this too. @BarackObama completely destroyed the law.",Strong Agreement,4
JayKliever,Well The Liberal does  to Champion there Criminals.,Strong Agreement,5
JaynieD2,I was there.#enoughisenough.#marchtothepolls,Strong Agreement,3
JcJaneJetson,"Soros is the one who walks behind the rows, and these are his Children of the Corn ",Strong Agreement,3
Jeanobenson,"The kid didn't want to be a CNN cuck/shill, good on him.",Strong Agreement,3
Jeffner01,Soros. Now we know it was fake.,Weak Agreement,3
JeffreyFrye,"Oh, and let's not forget to take everyone's mind over the FBI's responsibility for #Parkland. Let's curb the FBI's power not the people's granted to them by the Constitution.",Neutral,3
JeffreyMDavids1,If a teacher is not willing to take up arms to defend their students lives. They need to go.,Neutral,3
JenMax57,"Everything you've said is absolutely true, but these drills are planned long in advance. Ha! Right in the middle of writing this, Twitter checked my location. Stopped the tweet and made me verify location. Unbelievable! Anyway, drill is abt mental health laws",Strong Agreement,3
JenMax57,"The government +private sector are doing an ENORMOUS pushback on the Florida story. They know they really f'ed up this time +are in an all out media campaign headed by the term ""conspiracy theory"" Your posts are always GREAT!! Don't give up!!!",Strong Agreement,3
JennaNeen,Excellent Reporting  George Soros always has money in Anti-American Everything,Strong Agreement,4
JensJenson1,"You're attacking a teenager who just went through a mass shooting, witnessing the slaughter of his schoolmates. That takes some kind of balls, man. Attacking a victim of a serious crime. Hell has a special level for you.",Strong Disagreement,4
JerilynneGraue,Fox grab this kid so he can be heard @FoxNews @seanhannity @TuckerCarlson @foxandfriends,Neutral,3
JeromeDaniels16,Really how sad are you .,Weak Disagreement,3
Jgigi8,Very proud of both of you My son and 2 adopted sons and their sister were in JROTC at North HS one of the most decorated in USA but you have something they do not Kevlar curtain. I will make sure that your ingenuity is known to JROTC students here in CA,Neutral,5
JijiRotelli,"Not surprised...I would have liked to hear him, not a scripted #DavidHogg & company!! @CNN #FakeNewsMedia #StudentsStandUp",Strong Agreement,3
JimRohde3,Using children to boost ratings. CNN Children Needed Now,Weak Disagreement,3
Jimmy14218993,The gun industry and the NRA owe David Hogg and his minions a huge dept of gratitude. They have greatly increased gun sales and NRA memberships. Thanks Guys!!,Weak Disagreement,3
Joersweeney,#FakeNews,Weak Disagreement,4
JohnAStroud1,He's a plant black hat response team member,Strong Agreement,4
JohnKrone2,Wonder if Obamaâs OFA was involved?,Weak Agreement,6
JohnLEE79289477,Once the top dogs are out should be better.  At least for awhile,Weak Agreement,3
JohnMey86222636,"You meant 200,000, right?",Weak Disagreement,4
JohnnyMcGarrity,"Yes, it's a ""conspiracy"" in which children want to be safe going to school. Fuck sake people, does no-one posses any common sense any more? Looking in from outside, you guys appear crazy, fighting for the right to be able to do what the fuck you want!!!!!!",Strong Disagreement,3
JosephSkiles,Proud to have just signed up and joined the NRA.,Weak Disagreement,3
JoshDrake22,Poorly sourced and poorly written.,Strong Disagreement,4
JoshNoneYaBiz,Red flag,Neutral,3
JoshRunsThis,David Hogg is a crisis actor. He's not real! Look it up. #DavidHogg,Strong Agreement,4
JuddLee,Damn. Will someone please act like they're going to play the part and then call bs on live tv?,Strong Agreement,3
Julie2018Jack,CNN is sowing discord like Russian Bots,Weak Disagreement,3
JustDoWrite445,"And another point... the astounding number of cities/school districts (like Baltimore City @MayorPugh50) who bragged about sending 3,000 students on 60 busses (with free t-shirts & meals) at an estimated cost to the City Schools of over $100,000.",Strong Agreement,3
JustOneTulip,With the commienazis it is always staged phony bullsit conartits showing up for the national psychopaths party by way of #Soros funds.,Strong Agreement,3
Just_a_Texan,This kid is a complete fraud.....,Strong Agreement,4
Jwdny_1118s,Not surprised #CNNisPropaganda,Strong Agreement,3
KABennett4,"Glenn , Colton HAAB and you are right wing nuts. Liars.",Strong Disagreement,3
KLelevier,@TrumpUpdate,Neutral,5
KaranStJohn,That's why CNN has no credibility. They try to silence opposing views.,Strong Agreement,3
KarmaPolice2016,And how many did the White House in there powwow today you big puss bag.,Neutral,5
Karmac0de,"I'm all for exposing stuff like this if proof is provided, but how is this supposed to be valid? Anyone could have made this.",Weak Disagreement,3
Kate4Djt,Already trying. Read bottom,Neutral,3
KathyMcQ1,"Poor Jacob.  No wonder you were an epic failure already at 19, barred for life.  You can't read. .. sad.",Neutral,3
KathySmallwoo18,"The youngins saw 300$ and because they are young and stupid, said âletâs do thisâ. Come on Kids Do Not Be Bought  and NOT by Soros!  Parents Wake UP!",Strong Agreement,5
KeithDB80,"Why would you invent this nutty conspiracy theory lie that just creates them being ""pawns"" instead of acting for themselves like real people? If everyone is a pawn, who are you a pawn to?",Strong Disagreement,6
KellyRowan12,Fake news. About 210k people.,Strong Disagreement,3
KenDWebber,This is helpful knowledge... https://youtu.be/mVs9psi_G5k,Neutral,6
LChidsey,I Boycott CNN,Neutral,4
LRM_Nick,"Adding @JacobAWohl to my list of Twitter users creating fake news... there we go. You are on the list, sir.",Strong Disagreement,4
Lauradesigns1,#CNNFakeNews #CNNisPropaganda,Strong Agreement,3
LennardSbkohut,"https://www.youtube.com/watch?v=2aQykuIaJVI&sns=em â¦
Amazing#studentstegisteringVoters #makeChange",Neutral,5
LisaASchulz2,Anyone can post an ad on Craigâs list- they donât do a lot of vetting.,Neutral,3
LiveOutLoud03,"In reality it was closer to 200,000 according to two separate expert analyses",Strong Disagreement,3
LorettaWaldman,"Good Lord. Give it a rest, dude.",Weak Disagreement,3
LoriinUtah,Why is this little twit getting so much attention?,Weak Agreement,5
LoserLefties,Now post the real numbers lol,Weak Disagreement,4
MAGA_TD_Corky,Holy shit!!  So busted!!  Libwads are pure FAKE!!!,Strong Agreement,7
MCBostonMAGA,And not Very Well I might add! He could not have been more obvious! Thank youâd Dad for us!,Neutral,3
MI_4_TRUMP,"As interesting as this is, they are looking for vendors to sell anti gun trash... Not the same as hired protestors, but I bet that listing was out there as well. #MAGA",Weak Disagreement,4
MJustSaying4u,Exactly! And concerning too,Strong Agreement,3
MKapronica,300 that's it? Mr Soros pays me 7000 per Facebook and Twitter post,Weak Disagreement,3
MMKinney,Donât be silly. Iâve started following him on Twitter. This tape is edited. He looked like he was trying not to cry.,Strong Disagreement,3
MaartenWildeman,"Someone is lying on Twitter, again.
Looking at you, Mike.",Neutral,4
MacBreck,"Re. CNN, no surprise at all.",Weak Agreement,4
Mannix1925,The left only cares about gun confiscation. They donât care about saving lives.,Strong Agreement,5
