followers_count,friends_count,listed_count,favorites_count,statuses_count,stance,count,word_count,char_count,avg_word,hastags,mentions,number_digit,uppercase,lowercase,publishing_days,membership_years,cnn,colton,pubd_5,pubd_6,pubd_7,pubd_38,pubd_39,memb_1,memb_2,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anger,social,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,bio,drives,affiliation,achieve,power,reward,focuspast,focuspresent,focusfuture,relativ,motion,space,time.1,work,informal,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
1136,1256,19,11346,21107,Neutral,3,13,79,5.153846153846154,1,0,0,0,12,13,2,0,0,0,0,0,0,0,0,1,13,23.17,98.93,1.0,1.0,13.0,15.38,92.31,61.54,23.08,23.08,0.0,0.0,0.0,23.08,0.0,7.69,15.38,7.69,7.69,7.69,7.69,15.38,0.0,0.0,0.0,0.0,7.69,7.69,0.0,7.69,0.0,30.77,0.0,7.69,0.0,0.0,0.0,0.0,7.69,0.0,7.69,7.69,0.0,7.69,0.0,7.69,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,0.0,7.69,0.0,84.62,30.77,0.0,23.08,23.08,7.69,0.0
2573,724,102,23338,6280,Neutral,4,7,37,4.428571428571429,0,0,0,0,4,13,10,0,0,0,0,0,0,0,0,0,13,97.77,50.0,1.4,1.0,6.5,15.38,92.31,53.85,15.38,7.69,0.0,0.0,0.0,7.69,7.69,15.38,15.38,0.0,0.0,0.0,7.69,7.69,7.69,0.0,0.0,0.0,0.0,23.08,0.0,15.38,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38,7.69,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,7.69,0.0,0.0,0.0,23.08,0.0,7.69,7.69,0.0,0.0,7.69
2542,3334,0,41074,5030,Strong Agreement,3,28,159,4.714285714285714,0,0,0,0,24,13,1,0,0,0,0,0,0,0,1,0,7,99.0,92.33,89.63,25.77,7.0,14.29,71.43,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,14.29,0.0,14.29,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,14.29,14.29,0.0,0.0,14.29,0.0,0.0,14.29,0.0,0.0,0.0
7101,7815,2,107385,45804,Neutral,4,1,8,8.0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,1,29,68.4,84.96,1.0,25.77,7.25,17.24,89.66,58.62,17.24,6.9,3.45,3.45,0.0,0.0,10.34,10.34,13.79,13.79,6.9,0.0,0.0,20.69,6.9,3.45,0.0,0.0,0.0,13.79,6.9,6.9,0.0,10.34,0.0,10.34,0.0,3.45,3.45,3.45,0.0,0.0,0.0,0.0,3.45,17.24,0.0,3.45,6.9,6.9,0.0,13.79,0.0,6.9,0.0,6.9,0.0,6.9,0.0,13.79,10.34,0.0,0.0,0.0,0.0,3.45
1170,1831,1,4314,1388,Weak Agreement,3,26,132,4.115384615384615,0,0,0,0,22,14,8,0,0,0,0,0,0,0,0,0,1,92.84,50.0,1.0,25.77,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
317,601,6,14587,6587,Weak Agreement,3,1,15,15.0,1,0,0,0,0,13,7,0,0,0,0,0,0,0,0,0,26,23.17,50.0,63.54,1.0,13.0,7.69,92.31,69.23,23.08,7.69,0.0,0.0,0.0,7.69,15.38,11.54,11.54,23.08,0.0,0.0,7.69,38.46,0.0,0.0,3.85,0.0,0.0,3.85,0.0,3.85,0.0,11.54,0.0,15.38,7.69,3.85,0.0,0.0,0.0,3.85,0.0,0.0,0.0,7.69,3.85,0.0,3.85,0.0,7.69,23.08,3.85,11.54,3.85,7.69,0.0,0.0,0.0,11.54,3.85,0.0,0.0,0.0,7.69,0.0
1655,1462,88,2440,9167,Weak Disagreement,3,20,107,4.4,2,0,0,0,16,14,8,0,0,0,0,0,0,0,0,0,1,92.84,50.0,1.0,25.77,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
421,542,0,641,2574,Neutral,3,7,36,4.285714285714286,0,0,0,0,6,14,1,0,0,0,0,0,0,0,1,0,19,21.43,29.92,81.22,97.58,6.33,15.79,89.47,68.42,15.79,0.0,0.0,0.0,0.0,0.0,10.53,5.26,21.05,10.53,15.79,10.53,5.26,15.79,15.79,10.53,0.0,0.0,5.26,5.26,5.26,0.0,0.0,0.0,0.0,15.79,0.0,0.0,0.0,5.26,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53,5.26,26.32,5.26,15.79,5.26,0.0,0.0,42.11,26.32,5.26,0.0,0.0,0.0,10.53
1955,2049,1,44119,22229,Strong Agreement,4,11,78,6.8,0,0,0,0,4,14,2,0,0,0,0,0,0,0,0,1,7,5.53,7.67,89.63,25.77,7.0,0.0,85.71,57.14,28.57,14.29,14.29,0.0,0.0,0.0,14.29,14.29,0.0,28.57,0.0,0.0,0.0,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,14.29,14.29,0.0,0.0,0.0,0.0,42.86,0.0,14.29,14.29,0.0,14.29,0.0
848,950,5,5592,13294,Neutral,3,5,41,7.4,0,0,0,0,2,13,1,0,0,0,0,0,0,0,1,0,11,79.25,81.84,31.94,99.0,11.0,36.36,63.64,27.27,9.09,0.0,0.0,0.0,0.0,0.0,9.09,0.0,9.09,9.09,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,9.09,9.09,0.0,0.0,9.09,0.0,18.18,0.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0,0.0,9.09,0.0,9.09,0.0,0.0,0.0,9.09,0.0,18.18,0.0,9.09,9.09,18.18,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0
659,140,1,8635,5651,Weak Agreement,3,7,31,3.5714285714285716,0,0,0,0,5,13,3,0,0,0,0,0,0,0,0,0,5,51.43,97.69,1.0,25.77,2.5,60.0,100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,40.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,20.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,60.0,20.0,0.0,20.0,0.0,20.0,0.0
256,119,2,14751,25031,Strong Agreement,3,23,285,9.8,23,0,0,4,1,14,2,0,0,0,0,0,0,0,0,1,7,1.0,99.0,89.63,1.0,3.5,0.0,85.71,57.14,28.57,14.29,0.0,0.0,0.0,0.0,14.29,0.0,0.0,14.29,14.29,0.0,0.0,28.57,14.29,0.0,0.0,0.0,0.0,14.29,0.0,14.29,0.0,14.29,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,0.0,0.0,14.29,28.57,0.0,14.29,0.0,0.0,14.29,0.0,0.0,28.57,28.57,0.0,0.0,0.0,0.0,0.0
515,600,1,360,6887,Neutral,3,30,166,4.566666666666666,0,0,0,1,26,14,2,0,0,0,0,0,0,0,0,1,24,92.84,50.0,1.0,25.77,12.0,66.67,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,104.17,0.0,0.0,0.0,4.17,0.0,100.0
38,47,0,808,777,Neutral,3,2,11,5.0,0,0,0,1,1,13,1,0,0,0,0,0,0,0,1,0,30,83.85,99.0,23.51,1.0,15.0,16.67,90.0,56.67,20.0,10.0,0.0,0.0,0.0,10.0,10.0,3.33,23.33,10.0,0.0,3.33,0.0,16.67,3.33,6.67,3.33,0.0,3.33,13.33,3.33,10.0,10.0,23.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,0.0,16.67,10.0,0.0,10.0,0.0,10.0,6.67,0.0,16.67,0.0,13.33,3.33,0.0,0.0,10.0,6.67,0.0,0.0,0.0,3.33,0.0
174,85,10,8993,23126,Strong Agreement,3,51,278,4.470588235294118,0,0,0,2,36,13,8,0,0,0,0,0,0,0,0,0,2,92.84,50.0,1.0,1.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0
7801,4122,290,9487,141360,Neutral,3,14,73,4.285714285714286,0,0,0,0,13,15,10,0,0,0,0,0,0,0,0,0,49,76.89,92.33,1.0,4.76,9.8,12.24,71.43,46.94,14.29,10.2,0.0,2.04,4.08,2.04,4.08,2.04,18.37,6.12,8.16,2.04,0.0,12.24,2.04,0.0,6.12,2.04,6.12,2.04,0.0,2.04,0.0,10.2,4.08,12.24,0.0,4.08,0.0,2.04,6.12,0.0,2.04,2.04,2.04,2.04,2.04,0.0,0.0,0.0,6.12,8.16,0.0,10.2,0.0,10.2,0.0,6.12,0.0,18.37,6.12,0.0,2.04,0.0,6.12,4.08
1535,2252,68,25135,54331,Neutral,3,10,60,5.1,0,0,0,0,9,14,10,0,0,0,0,0,0,0,0,0,15,32.98,99.0,10.08,25.77,15.0,13.33,60.0,33.33,13.33,13.33,0.0,13.33,0.0,0.0,0.0,0.0,6.67,6.67,6.67,6.67,0.0,20.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,6.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,13.33,6.67,13.33,6.67,0.0,6.67,0.0,0.0,13.33,6.67,6.67,0.0,0.0,0.0,0.0
4602,5054,55,30270,75024,Neutral,4,10,37,3.5,0,0,0,0,5,14,4,0,0,0,0,0,0,0,0,0,10,98.46,15.86,93.3,25.77,5.0,20.0,90.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.0,0.0,20.0,10.0,20.0,0.0,50.0,30.0,20.0,0.0,0.0,0.0,0.0
4602,5054,55,30270,75024,Neutral,4,10,37,3.5,0,0,0,0,5,14,4,0,0,0,0,0,0,0,0,0,7,1.0,50.0,13.15,25.77,3.5,14.29,100.0,57.14,28.57,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,14.29,14.29,14.29,0.0,28.57,0.0,0.0,14.29,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,42.86,0.0,14.29,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,14.29,0.0,0.0,14.29,0.0,0.0,57.14,14.29,0.0,28.57,0.0,0.0,14.29
4602,5054,55,30270,75024,Weak Agreement,3,9,51,5.375,0,0,0,0,4,14,4,0,0,0,0,0,0,0,0,0,10,98.46,15.86,93.3,25.77,5.0,20.0,90.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.0,0.0,20.0,10.0,20.0,0.0,50.0,30.0,20.0,0.0,0.0,0.0,0.0
4602,5054,55,30270,75024,Weak Agreement,3,9,51,5.375,0,0,0,0,4,14,4,0,0,0,0,0,0,0,0,0,7,1.0,50.0,13.15,25.77,3.5,14.29,100.0,57.14,28.57,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,14.29,14.29,14.29,0.0,28.57,0.0,0.0,14.29,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,42.86,0.0,14.29,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,14.29,0.0,0.0,14.29,0.0,0.0,57.14,14.29,0.0,28.57,0.0,0.0,14.29
1778,2348,1,9396,7637,Neutral,3,2,10,4.5,0,0,0,0,1,14,1,0,0,0,0,0,0,0,1,0,8,1.8,10.58,7.84,1.0,2.0,37.5,75.0,50.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,25.0,12.5,0.0,0.0,12.5,0.0,0.0,12.5,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,25.0,12.5,0.0,0.0,12.5,0.0,0.0,50.0,37.5,0.0,12.5,0.0,0.0,0.0
3370,2487,14,40926,39779,Weak Agreement,3,2,33,16.0,1,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0,2,92.84,50.0,1.0,99.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
1384,1335,13,3762,3020,Weak Agreement,4,10,49,4.0,0,0,0,0,9,14,1,0,0,0,0,0,0,0,1,0,2,92.84,50.0,1.0,25.77,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0,50.0
626,1002,1,9502,4556,Weak Agreement,3,17,98,4.470588235294118,0,0,0,1,13,13,4,0,0,0,0,0,0,0,0,0,10,24.86,50.0,43.37,99.0,10.0,0.0,80.0,60.0,20.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,20.0,20.0,0.0,0.0,10.0,20.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,10.0,0.0
5016,4942,77,47982,87919,Weak Agreement,3,8,45,4.75,0,0,0,0,6,13,8,0,0,0,0,0,0,0,0,0,18,4.38,4.8,58.07,25.77,6.0,16.67,88.89,66.67,22.22,5.56,5.56,0.0,0.0,0.0,16.67,5.56,5.56,11.11,16.67,0.0,5.56,16.67,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,11.11,5.56,0.0,0.0,5.56,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,5.56,5.56,0.0,0.0,0.0,0.0,22.22,11.11,0.0,5.56,0.0,0.0,0.0
5016,4942,77,47982,87919,Weak Agreement,3,8,45,4.75,0,0,0,0,6,13,8,0,0,0,0,0,0,0,0,0,8,1.0,89.42,74.76,25.77,4.0,0.0,100.0,62.5,25.0,12.5,0.0,0.0,0.0,12.5,12.5,0.0,0.0,25.0,0.0,12.5,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,50.0,25.0,12.5,12.5,25.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,12.5,0.0
5016,4942,77,47982,87919,Strong Agreement,4,23,124,4.434782608695652,0,1,1,2,15,13,8,0,0,0,0,0,0,0,0,0,18,4.38,4.8,58.07,25.77,6.0,16.67,88.89,66.67,22.22,5.56,5.56,0.0,0.0,0.0,16.67,5.56,5.56,11.11,16.67,0.0,5.56,16.67,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,11.11,5.56,0.0,0.0,5.56,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,5.56,5.56,0.0,0.0,0.0,0.0,22.22,11.11,0.0,5.56,0.0,0.0,0.0
5016,4942,77,47982,87919,Strong Agreement,4,23,124,4.434782608695652,0,1,1,2,15,13,8,0,0,0,0,0,0,0,0,0,8,1.0,89.42,74.76,25.77,4.0,0.0,100.0,62.5,25.0,12.5,0.0,0.0,0.0,12.5,12.5,0.0,0.0,25.0,0.0,12.5,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,50.0,25.0,12.5,12.5,25.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,25.0,0.0,0.0,0.0,12.5,0.0
46,114,1,255,2128,Strong Agreement,3,21,120,5.0,0,0,0,1,17,13,2,0,0,0,0,0,0,0,0,1,22,56.58,96.52,11.0,99.0,5.5,13.64,86.36,50.0,22.73,13.64,0.0,0.0,4.55,9.09,9.09,9.09,9.09,9.09,0.0,0.0,4.55,13.64,0.0,0.0,0.0,4.55,0.0,9.09,9.09,0.0,0.0,27.27,9.09,13.64,0.0,4.55,0.0,4.55,0.0,4.55,4.55,0.0,0.0,4.55,0.0,0.0,0.0,0.0,9.09,4.55,0.0,13.64,0.0,13.64,0.0,4.55,0.0,36.36,4.55,0.0,18.18,4.55,4.55,4.55
366,1095,1,3717,4358,Weak Agreement,3,24,131,4.695652173913044,0,0,0,1,21,13,4,0,0,0,0,0,0,0,0,0,20,1.0,15.86,99.0,25.77,10.0,15.0,90.0,65.0,15.0,10.0,0.0,0.0,0.0,10.0,5.0,0.0,5.0,20.0,5.0,15.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,30.0,10.0,0.0,5.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,5.0,10.0,0.0,0.0,10.0,10.0,0.0,30.0,5.0,5.0,0.0,10.0,10.0,0.0
