stance,scaled_followers,scaled_friends,influence,weighted_influence,cluster,clustering_coeff,degree_centrality,closeness_centrality,cycle,triangles,avg_neighbor,majority_neighbor,repliers_cluster_coeff,repliers_closeness,repliers_clique_num,repliers_pagerank,repliers_degree_centrality,connected_to_Trump,connected_to_TheDailyShow
Neutral,0.022031242728386826,0.09751319516364496,0.908637236084453,0.020018407500227108,4.0,0.002635345952514107,0.00799283965604273,0.3559465332262031,1.0,108458.0,1.0350877192982455,2.0,0.2343358395989975,0.2652499810295097,10.0,0.003835340574876621,0.06326304106548279,1.0,0.0
Weak Agreement,0.003629989296185408,0.022846661592403585,0.6389950846531949,0.002319545317606187,1.0,0.002965396564653787,0.001805943050246621,0.33785576166564624,1.0,6228.0,0.8571428571428571,0.0,0.4761904761904762,0.2279197706586685,5.0,0.0006586619216837661,0.00776914539400666,1.0,0.0
Weak Agreement,0.0009835099204194657,0.007499095367031431,0.5274542429284526,0.0005187564804874719,4.0,0.0022445791858726897,0.006800917242879959,0.38852374100004666,1.0,66878.0,0.8333333333333334,2.0,0.4298850574712644,0.2695020799620439,10.0,0.002109434683105249,0.03329633740288568,1.0,0.0
Weak Disagreement,0.00513472844887765,0.01824239172479193,1.1320109439124486,0.005812568798148093,3.0,0.00022957386341146757,0.0018790617200858746,0.3398229079832597,1.0,522.0,0.5,0.0,1.0,0.22190303252688715,3.0,0.00036246899475429495,0.002219755826859045,1.0,0.0
Neutral,0.0013061756356359461,0.006762911296058296,0.7767527675276753,0.0010145755398574415,2.0,0.0030410076916429,0.0005364972280976547,0.3697684612024753,1.0,563.0,1.0,-999.0,0.0,0.2486251582748433,2.0,0.00039296768375007244,0.002219755826859045,1.0,0.0
Strong Agreement,0.006031366830584987,0.025429544688868648,0.9538763493621196,0.005753178174022186,1.0,0.0017741668588034047,0.0024904395136815605,0.3793012996851852,1.0,7087.0,0.7,-999.0,0.3111111111111111,0.25769906916078644,5.0,0.0008786188764058746,0.011098779134295227,1.0,0.0
Neutral,0.00263096660099592,0.011853811312279302,0.8926315789473684,0.002348483871204779,1.0,0.0035329835061169274,0.0012808981439310185,0.3429760659989993,1.0,3732.0,0.5,0.0,0.3333333333333333,0.23758258731512616,5.0,0.0008875829146304931,0.011098779134295227,1.0,0.0
Weak Agreement,0.002044583714689046,0.0017468774565464233,4.707142857142856,0.009624147628429155,3.0,0.003002926059351348,0.0007787578811795187,0.3691823972635029,1.0,1172.0,1.0,2.0,0.42857142857142855,0.2438174894684237,4.0,0.0007901020403166027,0.00776914539400666,1.0,0.0
Strong Agreement,0.000797356623179188,0.0014848458380644599,2.1596638655462184,0.0017220222870340445,2.0,0.0,0.0003576648187317699,0.32393530966809875,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,1.0,0.0
Neutral,0.0015978158013123804,0.0074866176709132435,0.8583333333333333,0.0013714585627931267,3.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,0.0,0.0
Neutral,0.00011789708825217568,0.0005864517175548707,0.8085106382978723,9.532105007622712e-05,3.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,0.0,0.0
Strong Agreement,0.0005398445619968044,0.0010606041700460427,2.047058823529412,0.0011050935739699288,3.0,0.0,0.00023080833129981206,0.3230438043941272,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,0.0,0.0
Neutral,0.02420303119619006,0.05143306339917398,1.8925278990781167,0.04580491178104771,0.0,2.0863134183831025e-05,0.009774116167066471,0.3376665066616536,1.0,1284.0,0.5,-999.0,0.0,0.19890012661987466,2.0,0.0016163140931499851,0.00443951165371809,0.0,1.0
Neutral,0.004762421854397096,0.028099771658161042,0.6816163410301954,0.0032461445588363863,2.0,0.00028682756966471365,0.002721247844981373,0.3377489969737472,1.0,1368.0,0.8,2.0,0.2,0.2135799907745176,3.0,0.0005965151277715769,0.005549389567147614,1.0,0.0
Neutral,0.014277957898329271,0.06306227618132589,0.9105658884052236,0.013001021418304571,4.0,0.004143646471826282,0.0058345174740406704,0.3881028909827838,1.0,90865.0,1.051282051282051,2.0,0.3792172739541161,0.2838004218249819,10.0,0.002614543860190124,0.04328523862375139,1.0,0.0
Weak Agreement,0.014277957898329271,0.06306227618132589,0.9105658884052236,0.013001021418304571,4.0,0.004143646471826282,0.0058345174740406704,0.3881028909827838,1.0,90865.0,1.051282051282051,2.0,0.3792172739541161,0.2838004218249819,10.0,0.002614543860190124,0.04328523862375139,1.0,0.0
Neutral,0.005516342708220219,0.029297630485507164,0.7572402044293015,0.004177196480074766,3.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,0.0,0.0
Weak Agreement,0.01045561019499558,0.031032030245935392,1.3550462404503418,0.014167835286343026,3.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,0.0,0.0
Weak Agreement,0.004293936056342398,0.016657724317781966,1.0367041198501872,0.004451541199983429,1.0,0.0017735834890486007,0.00246577297445868,0.34345646315260203,1.0,6945.0,0.5714285714285714,-999.0,0.5238095238095238,0.2366271613607757,6.0,0.0006542702130235375,0.00776914539400666,1.0,0.0
Weak Agreement,0.0019421994012068934,0.012502651510425115,0.624750499001996,0.0012133900450653848,1.0,0.0036110026120430507,0.0011610892391341696,0.3756114901477332,1.0,3134.0,0.625,0.0,0.32142857142857145,0.25509228666927564,4.0,0.0007969964984258766,0.00887902330743618,1.0,0.0
Weak Agreement,0.015562415649287188,0.061664774216088736,1.0149736948603805,0.015795442512510024,1.0,0.0015529058440635528,0.006442371476318801,0.3930983064005357,1.0,41519.0,1.0967741935483872,2.0,0.3612903225806451,0.2741053763589111,9.0,0.0022733160627128077,0.034406215316315214,1.0,0.0
Strong Agreement,0.015562415649287188,0.061664774216088736,1.0149736948603805,0.015795442512510024,1.0,0.0015529058440635528,0.006442371476318801,0.3930983064005357,1.0,41519.0,1.0967741935483872,2.0,0.3612903225806451,0.2741053763589111,9.0,0.0022733160627128077,0.034406215316315214,1.0,0.0
Strong Agreement,0.00014271752788421268,0.001422457357473516,0.4035087719298245,5.758777440941914e-05,3.0,0.0053863134657836645,0.00013302312223767798,0.32252747316413705,1.0,61.0,0.0,-999.0,0.0,0.1461895340580859,2.0,0.0004815570668682159,0.0011098779134295226,1.0,0.0
Weak Agreement,0.001135535113165692,0.013663077249416669,0.33424657534246577,0.0003795487227567518,1.0,0.001471091344509066,0.0010439231778254859,0.3739212537234885,1.0,1032.0,0.0,-999.0,0.5,0.2472323002452924,3.0,0.0005491231210171753,0.00443951165371809,1.0,0.0
Weak Agreement,0.000707382529513054,0.0018591767216101208,1.5302013422818792,0.0010824376961676263,2.0,0.0,0.000335641122997055,0.32526132546727565,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,1.0,0.0
Neutral,0.017091975241611466,0.07170931959123067,0.9585870889159559,0.01638414679067993,4.0,0.0030733001619287137,0.00571558951707321,0.3883473458813934,1.0,64674.0,0.7142857142857143,2.0,0.3019744483159117,0.2758185349611543,8.0,0.002833372319789427,0.04661487236403996,1.0,0.0
Neutral,0.014634751718039806,0.05933144504198745,0.9920084121976868,0.014517796814720037,4.0,0.0030874989159062802,0.005216092097809876,0.3543012842224741,1.0,54112.0,0.875,2.0,0.3985507246376812,0.2607442575703674,8.0,0.001707500615113844,0.02663706992230855,1.0,0.0
Neutral,0.0025875308316398553,0.004329760553011492,2.403458213256484,0.006219022229359191,2.0,0.0,0.0010994228910769675,0.3321167192437529,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,1.0,0.0
Strong Agreement,0.00040022958906659633,0.0038181750121657533,0.4215686274509804,0.00016872423852807493,3.0,0.0,0.0003585457665611585,0.3297034276155318,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,1.0,0.0
Strong Agreement,0.002500659292927726,0.012914415482325343,0.7787439613526569,0.001947373323767872,3.0,0.00034339947038121947,0.0014218497966331936,0.33871736906958605,1.0,447.0,0.8333333333333334,1.0,0.2,0.22051700484089784,3.0,0.0006354115523834557,0.006659267480577137,0.0,0.0
Strong Agreement,0.002500659292927726,0.012914415482325343,0.7787439613526569,0.001947373323767872,3.0,0.00034339947038121947,0.0014218497966331936,0.33871736906958605,1.0,447.0,0.8333333333333334,1.0,0.2,0.22051700484089784,3.0,0.0006354115523834557,0.006659267480577137,0.0,0.0
Strong Agreement,0.006037571940492995,0.039117577330521694,0.6207336523125997,0.0037477240817222865,4.0,0.002597740848385984,0.004991450401315784,0.35630061315818484,1.0,41691.0,1.173913043478261,2.0,0.4031620553359684,0.2588326427787958,8.0,0.0016476729200202976,0.025527192008879027,1.0,0.0
Neutral,0.0002295890665963421,0.0032442009907290717,0.2846153846153846,6.534458049280506e-05,2.0,0.0012395860359191676,0.00032859354036194623,0.36592925426272266,1.0,86.0,0.0,-999.0,0.0,0.2333428451753321,2.0,0.0003313868371232964,0.0011098779134295226,1.0,0.0
Strong Agreement,0.0002978452755844437,0.003518710305329224,0.3404255319148936,0.00010139413636917234,0.0,0.0,0.0002801414097455735,0.3030847347079571,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,0.0,0.0
Neutral,1.5512774770023114e-05,0.0004491970602547945,0.1388888888888889,2.1545520513921003e-06,2.0,0.0,3.964265232248681e-05,0.3274516781791991,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,1.0,0.0
Weak Agreement,0.005364317515473993,0.032217411377163316,0.6696359411309063,0.003592139807999433,1.0,0.0006273928615536617,0.0023785591393492085,0.3376306495088467,1.0,2286.0,0.4,-1.0,0.2,0.21540434701054145,3.0,0.0006660623398418516,0.005549389567147614,1.0,0.0
Neutral,1.241021981601849e-05,0.00041176397190022837,0.12121212121212124,1.504269068608302e-06,2.0,0.0,3.1714121857989446e-05,0.3183361709267951,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,1.0,0.0
Strong Disagreement,0.0015233544824162695,0.01165416817438828,0.525695931477516,0.0008008212536042702,3.0,0.0,0.001011328108138108,0.3326031164165287,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,1.0,0.0
Neutral,0.00011479453329817104,0.0014848458380644599,0.3109243697478992,3.569241791623807e-05,3.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,0.0,0.0
Neutral,0.0006639467601569892,0.006014249528966972,0.4439834024896265,0.0002947813416464641,2.0,0.0014858096828046744,0.0005285686976331575,0.33738748399489715,1.0,267.0,2.0,2.0,0.0,0.2139683180304712,2.0,0.0003012937835599189,0.0011098779134295226,1.0,0.0
Neutral,0.0004591781331926842,0.0012228142195824965,1.5102040816326532,0.0006934526909440536,2.0,0.005555470531519261,0.0003189031142386717,0.3322520434136891,1.0,363.0,2.0,2.0,1.0,0.2258782627960829,3.0,0.0003645240267346989,0.002219755826859045,1.0,0.0
Neutral,0.0026526844856739518,0.011778945135570169,0.9057203389830508,0.002402590291579693,1.0,0.002504033867931992,0.002430535061283136,0.34464175411737097,1.0,9527.0,0.7333333333333333,2.0,0.29523809523809524,0.24348118948295,5.0,0.0012280027368624874,0.016648168701442843,1.0,0.0
Neutral,0.002271070226331384,0.015010668430181054,0.6084788029925187,0.0013818980928300688,2.0,0.0011993609283282706,0.0013275883788886134,0.3724667650690428,1.0,1361.0,0.8,-999.0,0.5,0.2421452158781053,3.0,0.0006747752624427924,0.005549389567147614,1.0,0.0
Neutral,0.00041574236383661945,0.0012477696118188741,1.34,0.0005570947675410701,3.0,0.0,0.0001876418876597709,0.32275335412526457,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,1.0,0.0
Strong Agreement,0.0015698928067263392,0.006650612030994598,0.949343339587242,0.0014903672799315714,3.0,1.0,2.6428434881657873e-06,0.3302147636131004,1.0,3.0,0.3333333333333333,-999.0,1.0,0.2426444843644519,4.0,0.0004594301088269474,0.0033296337402885685,0.0,0.0
Neutral,0.002106634813769139,0.0060516826173215394,1.4,0.0029492887392767947,2.0,0.000641827612270962,0.0006906630982406591,0.32958136742740896,1.0,197.0,0.5,2.0,0.0,0.19271164014753134,2.0,0.0003896701477112005,0.002219755826859045,1.0,0.0
Neutral,0.00020787118191830967,0.0012602473079370625,0.6633663366336634,0.00013789474444085892,3.0,0.0,0.00016297534843689023,0.3171781636924638,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,1.0,0.0
Neutral,0.00027612739090641144,0.0012228142195824965,0.9081632653061223,0.0002507687529660267,2.0,0.003051948051948052,0.00015504681797239288,0.32417177750479115,1.0,47.0,0.0,-999.0,0.0,0.16755943272438414,2.0,0.0003514418727150868,0.0011098779134295226,1.0,0.0
Weak Agreement,0.00041574236383661945,0.006363625020276257,0.2627450980392157,0.00010923426814530786,3.0,0.0,0.0005364972280976547,0.32972095426241066,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,1.0,0.0
Neutral,0.021218373330437613,0.0888661517537402,0.9602639707947206,0.020375239428090827,4.0,0.003906236514594445,0.006501394980887837,0.358699709215465,1.0,106361.0,1.020408163265306,2.0,0.3460884353741497,0.2638622755981147,11.0,0.0031642724615944555,0.05438401775804662,1.0,0.0
Neutral,0.00023269162155034669,0.0012727250040552509,0.7352941176470589,0.00017109678055172553,2.0,0.005097022265939373,0.00018676093983038234,0.3398280966986311,1.0,114.0,2.0,2.0,0.0,0.2161957898042116,2.0,0.00036339246464185367,0.002219755826859045,1.0,0.0
Strong Agreement,0.0029877604207064518,0.01612118338469985,0.7453560371517027,0.002226945267136465,2.0,0.0028272901230275553,0.0017363481717249224,0.3829653213564274,1.0,5489.0,0.5454545454545454,-999.0,0.4363636363636363,0.2622940005574127,5.0,0.000984921749264308,0.01220865704772475,1.0,0.0
Neutral,0.005699393450506492,0.04068976704141347,0.5633241337013186,0.003210605878129539,1.0,0.0029967497501095946,0.003229554742538592,0.3856963932075717,1.0,20132.0,0.26666666666666666,-999.0,0.5619047619047619,0.270742120207268,7.0,0.0011713209225390293,0.016648168701442843,1.0,0.0
Neutral,0.013005910367187378,0.05221915825461987,1.0016726403823175,0.013027664578076342,4.0,0.0022294411712739178,0.005240758637032756,0.3565507589488669,1.0,39444.0,1.206896551724138,2.0,0.29802955665024633,0.25676198163656544,9.0,0.002094380702408792,0.032186459489456164,1.0,0.0
Neutral,0.004321859050928439,0.022434897620503352,0.7747497219132369,0.0033483590978550144,1.0,0.0015062577724328356,0.0025970342010375805,0.3869043402716375,1.0,6543.0,0.875,2.0,0.7142857142857143,0.2626843190106231,6.0,0.0007454131326356057,0.00887902330743618,1.0,0.0
Strong Disagreement,0.0006174084358469199,0.0034687995208564693,0.7158273381294964,0.00044195783717099657,3.0,0.0,0.0004757118278698417,0.33288072161270715,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,1.0,0.0
Strong Agreement,0.24997595519910645,1.0,1.0053404539385848,0.251310940273601,4.0,0.00023133991215239962,0.07207298476576919,0.4219513640994779,1.0,774212.0,0.8588957055214724,2.0,0.1544345981973794,0.3259905122347899,12.0,0.011125180061207472,0.18091009988901224,1.0,0.0
Neutral,0.0010734840140855994,0.05627440949303121,0.07671840354767184,8.235597979459366e-05,0.0,0.0,0.004141335745955789,0.3343080203841005,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,1.0,1.0
Strong Agreement,0.024742875758186855,0.10101942777285602,0.9850543478260868,0.02437307734332266,4.0,0.0021471841556681558,0.009568855322818929,0.3980030930645457,1.0,126654.0,0.9298245614035088,2.0,0.2669172932330827,0.28108895282665397,10.0,0.00401089083194396,0.06326304106548279,1.0,0.0
Neutral,0.01416626591998511,0.04888761339106349,1.1653905053598774,0.016509231799553853,4.0,0.003244377223604073,0.004030336319452826,0.3818290690973431,1.0,33946.0,1.148148148148148,2.0,0.2706552706552707,0.2660495288246251,6.0,0.0019377965468190949,0.02996670366259712,1.0,0.0
Strong Disagreement,0.0002947427206304392,0.002857392411065221,0.4148471615720524,0.00012227318104756211,0.0,0.0001514348451578708,0.000248427287887584,0.3308052800720757,1.0,6.0,1.0,1.0,0.0,0.0011098779134295226,2.0,0.0015980819679319394,0.0011098779134295226,0.0,1.0
Strong Agreement,0.01868358593301584,0.06819060928590145,1.10192131747484,0.0205878416264632,1.0,0.001450912863407453,0.006105849405492358,0.3874237277801112,1.0,34845.0,0.6842105263157895,2.0,0.4853801169590643,0.2656491533109688,8.0,0.001442421553087915,0.021087680355160933,1.0,0.0
Neutral,0.011944836572917795,0.062400958287061874,0.7698460307938413,0.009195685024141876,1.0,0.0017944992935516192,0.006114658883786243,0.3560651145916365,1.0,43221.0,0.9230769230769232,2.0,0.3630769230769231,0.2530808062726003,8.0,0.0018179822676121817,0.028856825749167588,1.0,0.0
Weak Agreement,0.011057505856072477,0.04947406510861835,0.8988650693568726,0.009939205768232607,4.0,0.00415677160519168,0.0055446856381718215,0.39302466941768655,1.0,82321.0,1.024390243902439,2.0,0.39634146341463417,0.2808653339302128,11.0,0.0027059639620772213,0.04550499445061043,1.0,0.0
Weak Agreement,0.008836076509005166,0.05865764945160526,0.6058285471176346,0.005353147393670861,2.0,0.0009703555868317123,0.004492833929881839,0.3838021017354267,1.0,12617.0,0.9230769230769232,2.0,0.3461538461538461,0.2565753813592133,6.0,0.0014089956558797265,0.014428412874583798,1.0,0.0
Strong Agreement,0.008836076509005166,0.05865764945160526,0.6058285471176346,0.005353147393670861,2.0,0.0009703555868317123,0.004492833929881839,0.3838021017354267,1.0,12617.0,0.9230769230769232,2.0,0.3461538461538461,0.2565753813592133,6.0,0.0014089956558797265,0.014428412874583798,1.0,0.0
Weak Agreement,0.06618680483378063,0.2712401582171868,0.9813690311896218,0.06495368053726386,4.0,0.001516738408367752,0.02097801066123063,0.4037187532292721,1.0,430022.0,0.913793103448276,2.0,0.21229385307346327,0.30619924089356243,12.0,0.00761757702360415,0.12874583795782465,1.0,0.0
Strong Agreement,0.02462187611498069,0.06272537838613479,1.5786751541674957,0.038869944071710114,3.0,9.507458468196854e-06,0.0068335123125673365,0.3355662657682044,1.0,286.0,1.0,2.0,0.0,0.1913537803524539,2.0,0.00040518578820007,0.002219755826859045,1.0,0.0
Strong Agreement,0.009338690411553914,0.04644198495189848,0.8087049973132724,0.0075522456041851906,4.0,0.0036811265777541603,0.003914051205973532,0.3817611340144665,1.0,36325.0,0.8928571428571429,2.0,0.35714285714285715,0.2660495288246251,8.0,0.0019693262512058152,0.03107658157602664,1.0,0.0
Strong Agreement,0.012258194623272264,0.06192680583457071,0.7960910739472093,0.009758639322294723,4.0,0.0031920869793922394,0.004613523782508076,0.3850186972511364,1.0,43765.0,0.9714285714285714,2.0,0.2554621848739496,0.2705346549810556,8.0,0.002562359753953189,0.038845726970033294,1.0,0.0
Weak Agreement,0.001653661790484464,0.008060591692349925,0.8250773993808049,0.001364398969548327,3.0,0.0,0.0008421861248954978,0.32805765866670106,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,1.0,0.0
Strong Agreement,0.0018894559669888151,0.00791085933893166,0.9605678233438486,0.0018149506055144926,3.0,0.0010690444807541623,0.0007153296374635398,0.33268373610776897,1.0,352.0,2.0,2.0,0.0,0.2057387673369915,2.0,0.0003554192694274767,0.002219755826859045,1.0,0.0
Strong Agreement,0.13103640848238526,0.5261470122156645,1.001612635473237,0.13124772244298955,4.0,0.0003761209262173541,0.049613219855506936,0.4189316825383679,1.0,596464.0,0.8344370860927153,2.0,0.15849889624724062,0.3218301957614197,12.0,0.010799917940696685,0.16759156492785793,1.0,0.0
Strong Agreement,0.027957122690535654,0.11637947169434636,0.9661198670526427,0.02700993165695473,4.0,0.0017850266420910874,0.01163203513924702,0.3944115116480564,1.0,155594.0,1.1454545454545455,2.0,0.3057239057239057,0.2801966069446647,10.0,0.003660938720947066,0.06104328523862376,1.0,0.0
Strong Agreement,0.016989590928129315,0.066244088691464,1.0314560180825014,0.017524015807578855,1.0,0.0014701029988150578,0.005836279369699447,0.3907614465975899,1.0,32257.0,1.24,2.0,0.3566666666666667,0.27012067693211744,8.0,0.001850017474343268,0.02774694783573807,1.0,0.0
Strong Agreement,0.006270263562043342,0.03813183933718478,0.6613219895287958,0.0041466631737204175,3.0,4.232821029713081e-05,0.0039061226755090334,0.3342973867608341,1.0,416.0,0.0,-999.0,0.0,0.16551698300528714,2.0,0.0003493278618127439,0.0011098779134295226,1.0,0.0
Strong Agreement,0.0006670493151109939,0.008547221840959286,0.3138686131386861,0.0002093658434289981,3.0,0.0,1.7618956587771916e-06,0.2912716457853524,1.0,0.0,1.0,0.0,0.0,0.20621946539151725,2.0,0.00036837728044147817,0.002219755826859045,0.0,0.0
Neutral,0.003515194762887237,0.014960757645708297,0.9449541284403672,0.0033216978034622518,2.0,0.0025910242579802512,0.0017337053282367569,0.3787239484265088,1.0,5015.0,0.8181818181818182,2.0,0.3636363636363637,0.2523572013940511,5.0,0.001008364122215083,0.01220865704772475,1.0,0.0
Weak Disagreement,0.0021128399236771483,0.024081953508104263,0.3528497409326425,0.0007455150197016257,2.0,0.0017034126944825015,0.0018403000155927766,0.3752934388615408,1.0,3715.0,0.7222222222222222,0.0,0.12418300653594773,0.25074412269195845,4.0,0.0017797146135120894,0.019977802441731408,1.0,0.0
Strong Agreement,0.0024199928641236053,0.010431353954805786,0.9330143540669856,0.0022578880789670005,3.0,0.0,0.0010025186298442221,0.3267407678723412,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,0.0,0.0
Strong Agreement,0.012028605556675922,0.05888224798173265,0.8215723670269125,0.00988236993923131,4.0,0.004124039179578429,0.004608238095531746,0.3896795110529078,1.0,56413.0,0.9714285714285714,2.0,0.4016806722689076,0.27304541744027644,10.0,0.0023893141965849506,0.038845726970033294,1.0,0.0
Strong Agreement,0.008327257496548408,0.03317819397826385,1.0094020308386609,0.008405550628332427,1.0,0.001819622931524713,0.005314758254701397,0.3511147451005329,1.0,33109.0,0.90625,2.0,0.2318548387096774,0.25271848586276124,7.0,0.0025990294953119864,0.03551609322974473,1.0,0.0
Strong Agreement,0.020300017064052246,0.08427435958224674,0.9687592537755404,0.01966582938260199,4.0,0.002444685051957416,0.008902858763801149,0.3610096974164754,1.0,124827.0,0.8541666666666666,2.0,0.35638297872340424,0.2711580067206432,11.0,0.003149543358836864,0.0532741398446171,1.0,0.0
Weak Agreement,0.052914074740548836,0.04403378960108807,4.832813828279966,0.2557238721167641,4.0,0.0009187065339630347,0.022672073337144903,0.3672024372806895,1.0,304237.0,0.9636363636363636,2.0,0.16980817347789826,0.2969282798572561,11.0,0.007458837022555105,0.12208657047724752,1.0,0.0
Strong Agreement,0.002010455610194996,0.0060516826173215394,1.3360824742268038,0.002686134505992489,1.0,0.0010787981478537923,0.0016861341454497724,0.3349528132235783,1.0,1975.0,0.8,-999.0,0.2,0.21793069429029474,3.0,0.000582576048711508,0.005549389567147614,1.0,0.0
Strong Agreement,1.861532972402773e-05,0.0006987509826185692,0.10714285714285714,1.9944996132886857e-06,3.0,0.0,6.519013937475608e-05,0.30818129546699885,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,1.0,0.0
